address,zip,lat_long,neighborhood,status
2961 marion avenue #1e,10458,None,Bronx Park and Fordham,No Claim
116 seaman ave #3c,10458,40.86907470000001:-73.884311,Bronx Park and Fordham,No Claim
33-14 31st avenue #3r,10034,40.86883760000001:-73.9238807,Inwood and Washington Heights,No Claim
156 orchard st. #5d,11106,40.7632281:-73.9214963,Northwest Queens,No Claim
76 forsythe st #2,10002,None,Lower East Side,No Claim
118 post ave #1h,10034,34.2662167:-118.3169102,Inwood and Washington Heights,No Claim
118 post avenue #1h,10034,40.8646681:-73.9202277,Inwood and Washington Heights,No Claim
141 essex st. #1b,10002,40.7528509:-73.5878055,Lower East Side,No Claim
156 orchard st #5d,10002,14.5591063:121.0221018,Lower East Side,No Claim
4791 broadway #4,10034,None,Inwood and Washington Heights,No Claim
125 madison st #1,10002,None,Lower East Side,No Claim
